image,x1,y1,x2,y2,class,test,class_names
000001.jpg,112,7,853,717,0,0,AM General Hummer SUV 2000
000002.jpg,48,24,441,202,0,0,AM General Hummer SUV 2000
000003.jpg,7,4,277,180,0,0,AM General Hummer SUV 2000
000004.jpg,33,50,197,150,0,0,AM General Hummer SUV 2000
000005.jpg,5,8,83,58,0,0,AM General Hummer SUV 2000
000006.jpg,10,6,250,110,0,0,AM General Hummer SUV 2000
000007.jpg,56,1,394,176,0,0,AM General Hummer SUV 2000
000008.jpg,1,13,113,83,0,0,AM General Hummer SUV 2000
000009.jpg,15,111,271,272,0,0,AM General Hummer SUV 2000
000010.jpg,14,18,148,107,0,0,AM General Hummer SUV 2000
000011.jpg,5,8,91,59,0,0,AM General Hummer SUV 2000
000012.jpg,29,18,157,86,0,0,AM General Hummer SUV 2000
000013.jpg,1,1,300,179,0,0,AM General Hummer SUV 2000
000014.jpg,9,1,152,103,0,0,AM General Hummer SUV 2000
000015.jpg,4,15,94,63,0,0,AM General Hummer SUV 2000
000016.jpg,12,16,117,71,0,0,AM General Hummer SUV 2000
000017.jpg,1,5,160,89,0,0,AM General Hummer SUV 2000
000018.jpg,46,84,661,428,0,0,AM General Hummer SUV 2000
000019.jpg,86,81,371,252,0,0,AM General Hummer SUV 2000
000020.jpg,26,32,677,418,0,0,AM General Hummer SUV 2000
000021.jpg,50,127,587,396,0,0,AM General Hummer SUV 2000
000022.jpg,6,9,124,89,0,0,AM General Hummer SUV 2000
000023.jpg,52,25,751,507,0,0,AM General Hummer SUV 2000
000024.jpg,3,23,132,98,0,0,AM General Hummer SUV 2000
000025.jpg,60,76,593,393,0,0,AM General Hummer SUV 2000
000026.jpg,21,18,492,316,0,0,AM General Hummer SUV 2000
000027.jpg,11,31,490,266,0,0,AM General Hummer SUV 2000
000028.jpg,8,3,135,86,0,0,AM General Hummer SUV 2000
000029.jpg,30,65,331,199,0,0,AM General Hummer SUV 2000
000030.jpg,5,14,93,58,0,0,AM General Hummer SUV 2000
000031.jpg,125,645,1845,1421,0,0,AM General Hummer SUV 2000
000032.jpg,20,48,385,283,0,0,AM General Hummer SUV 2000
000033.jpg,51,73,570,426,0,0,AM General Hummer SUV 2000
000034.jpg,79,469,1537,1198,0,0,AM General Hummer SUV 2000
000035.jpg,18,18,328,190,0,0,AM General Hummer SUV 2000
000036.jpg,13,235,2021,1253,0,0,AM General Hummer SUV 2000
000037.jpg,6,20,123,88,0,0,AM General Hummer SUV 2000
000038.jpg,26,25,283,157,0,0,AM General Hummer SUV 2000
